timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-07-28 04:55:01,9070500,0.0
2016-07-28 05:00:01,9070800,0.0
2016-07-28 05:05:01,9071100,0.0
2016-07-28 05:10:01,9071400,0.0
2016-07-28 05:15:01,9071700,0.0
2016-07-28 05:20:01,9072000,0.0
2016-07-28 05:25:01,9072300,0.0
2016-07-28 05:30:01,9072600,0.0
2016-07-28 05:35:01,9072900,0.0
2016-07-28 05:40:01,9073200,0.0
2016-07-28 05:45:01,9073500,0.0
2016-07-28 05:50:01,9073800,0.0
2016-07-28 05:55:01,9074100,0.0
2016-07-28 06:00:01,9074400,0.0
2016-07-28 06:05:01,9074700,0.0
2016-07-28 06:10:01,9075000,0.0
2016-07-28 06:15:01,9075300,0.0
2016-07-28 06:20:01,9075600,0.0
2016-07-28 06:25:01,9075900,0.0
2016-07-28 06:30:01,9076200,0.0
2016-07-28 06:35:01,9076500,0.0
2016-07-28 06:40:01,9076800,0.0
2016-07-28 06:45:01,9077100,0.0
2016-07-28 06:50:01,9077400,0.0
2016-07-28 06:55:01,9077700,0.0
2016-07-28 07:00:01,9078000,0.0
2016-07-28 07:05:01,9078300,0.0
2016-07-28 07:10:01,9078600,0.0
2016-07-28 07:15:01,9078900,0.0
2016-07-28 07:20:01,9079200,0.0
2016-07-28 07:25:01,9079500,15.0
2016-07-28 07:30:01,9079800,19.0
2016-07-28 07:35:01,9080100,18.0
2016-07-28 07:40:01,9080400,29.0
2016-07-28 07:45:01,9080700,35.0
2016-07-28 07:50:01,9081000,38.0
2016-07-28 07:55:01,9081300,46.0
2016-07-28 08:00:01,9081600,51.0
2016-07-28 08:05:01,9081900,56.0
2016-07-28 08:10:01,9082200,55.0
2016-07-28 08:15:01,9082500,61.0
2016-07-28 08:20:01,9082800,73.0
2016-07-28 08:25:01,9083100,79.0
2016-07-28 08:30:01,9083400,76.0
2016-07-28 08:35:01,9083700,89.0
2016-07-28 08:40:01,9084000,103.0
2016-07-28 08:45:01,9084300,119.0
2016-07-28 08:50:01,9084600,124.0
2016-07-28 08:55:01,9084900,146.0
2016-07-28 09:00:01,9085200,82.0
2016-07-28 09:05:01,9085500,135.0
2016-07-28 09:10:01,9085800,141.0
2016-07-28 09:15:01,9086100,146.0
2016-07-28 09:20:01,9086400,140.0
2016-07-28 09:25:01,9086700,154.0
2016-07-28 09:30:01,9087000,136.0
2016-07-28 09:35:01,9087300,139.0
2016-07-28 09:40:01,9087600,129.0
2016-07-28 09:45:01,9087900,129.0
2016-07-28 09:50:01,9088200,157.0
2016-07-28 09:55:01,9088500,196.0
2016-07-28 10:00:01,9088800,144.0
2016-07-28 10:05:01,9089100,95.0
2016-07-28 10:10:01,9089400,112.0
2016-07-28 10:15:01,9089700,128.0
2016-07-28 10:20:01,9090000,149.0
2016-07-28 10:25:01,9090300,156.0
2016-07-28 10:30:01,9090600,164.0
2016-07-28 10:35:01,9090900,198.0
2016-07-28 10:40:01,9091200,223.0
2016-07-28 10:45:01,9091500,247.0
2016-07-28 10:50:01,9091800,287.0
2016-07-28 10:55:01,9092100,371.0
2016-07-28 11:00:01,9092400,331.0
2016-07-28 11:05:01,9092700,766.0
2016-07-28 11:10:01,9093000,377.0
2016-07-28 11:15:01,9093300,331.0
2016-07-28 11:20:01,9093600,444.0
2016-07-28 11:25:01,9093900,328.0
2016-07-28 11:30:01,9094200,247.0
2016-07-28 11:35:01,9094500,277.0
2016-07-28 11:40:01,9094800,242.0
2016-07-28 11:45:01,9095100,256.0
2016-07-28 11:50:01,9095400,314.0
2016-07-28 11:55:01,9095700,300.0
2016-07-28 12:00:01,9096000,287.0
2016-07-28 12:05:01,9096300,344.0
2016-07-28 12:10:01,9096600,278.0
2016-07-28 12:15:01,9096900,276.0
2016-07-28 12:20:01,9097200,283.0
2016-07-28 12:25:01,9097500,237.0
2016-07-28 12:30:01,9097800,362.0
2016-07-28 12:35:01,9098100,475.0
2016-07-28 12:40:01,9098400,470.0
2016-07-28 12:45:01,9098700,442.0
2016-07-28 12:50:01,9099000,395.0
2016-07-28 12:55:01,9099300,613.0
2016-07-28 13:00:01,9099600,685.0
2016-07-28 13:05:01,9099900,466.0
2016-07-28 13:10:01,9100200,366.0
2016-07-28 13:15:01,9100500,415.0
2016-07-28 13:20:01,9100800,333.0
2016-07-28 13:25:01,9101100,295.0
2016-07-28 13:30:01,9101400,371.0
2016-07-28 13:35:01,9101700,302.0
2016-07-28 13:40:01,9102000,454.0
2016-07-28 13:45:01,9102300,506.0
2016-07-28 13:50:01,9102600,485.0
2016-07-28 13:55:01,9102900,369.0
2016-07-28 14:00:01,9103200,319.0
2016-07-28 14:05:01,9103500,318.0
2016-07-28 14:10:01,9103800,983.0
2016-07-28 14:15:01,9104100,978.0
2016-07-28 14:20:01,9104400,1416.0
2016-07-28 14:25:01,9104700,447.0
2016-07-28 14:30:01,9105000,1444.0
2016-07-28 14:35:01,9105300,417.0
2016-07-28 14:40:01,9105600,679.0
2016-07-28 14:45:01,9105900,361.0
2016-07-28 14:50:01,9106200,393.0
2016-07-28 14:55:01,9106500,725.0
2016-07-28 15:00:01,9106800,1148.0
2016-07-28 15:05:01,9107100,739.0
2016-07-28 15:10:01,9107400,753.0
2016-07-28 15:15:01,9107700,568.0
2016-07-28 15:20:01,9108000,1404.0
2016-07-28 15:25:01,9108300,414.0
2016-07-28 15:30:01,9108600,449.0
2016-07-28 15:35:01,9108900,1203.0
2016-07-28 15:40:01,9109200,1225.0
2016-07-28 15:45:01,9109500,432.0
2016-07-28 15:50:01,9109800,330.0
2016-07-28 15:55:01,9110100,571.0
2016-07-28 16:00:01,9110400,1254.0
2016-07-28 16:05:01,9110700,312.0
2016-07-28 16:10:01,9111000,1114.0
2016-07-28 16:15:02,9111300,1103.0
2016-07-28 16:20:01,9111600,1088.0
2016-07-28 16:25:01,9111900,371.0
2016-07-28 16:30:01,9112200,278.0
2016-07-28 16:35:01,9112500,307.0
2016-07-28 16:40:01,9112800,961.0
2016-07-28 16:45:01,9113100,296.0
2016-07-28 16:50:01,9113400,357.0
2016-07-28 16:55:01,9113700,605.0
2016-07-28 17:00:01,9114000,454.0
2016-07-28 17:05:01,9114300,185.0
2016-07-28 17:10:01,9114600,957.0
2016-07-28 17:15:01,9114900,289.0
2016-07-28 17:20:01,9115200,296.0
2016-07-28 17:25:02,9115500,273.0
2016-07-28 17:30:01,9115800,221.0
2016-07-28 17:35:01,9116100,180.0
2016-07-28 17:40:01,9116400,187.0
2016-07-28 17:45:01,9116700,214.0
2016-07-28 17:50:01,9117000,237.0
2016-07-28 17:55:01,9117300,235.0
2016-07-28 18:00:01,9117600,176.0
2016-07-28 18:05:01,9117900,270.0
2016-07-28 18:10:01,9118200,264.0
2016-07-28 18:15:01,9118500,244.0
2016-07-28 18:20:01,9118800,287.0
2016-07-28 18:25:01,9119100,222.0
2016-07-28 18:30:01,9119400,179.0
2016-07-28 18:35:01,9119700,176.0
2016-07-28 18:40:01,9120000,163.0
2016-07-28 18:45:01,9120300,142.0
2016-07-28 18:50:01,9120600,126.0
2016-07-28 18:55:01,9120900,142.0
2016-07-28 19:00:01,9121200,153.0
2016-07-28 19:05:01,9121500,119.0
2016-07-28 19:10:01,9121800,105.0
2016-07-28 19:15:01,9122100,103.0
2016-07-28 19:20:01,9122400,135.0
2016-07-28 19:25:01,9122700,112.0
2016-07-28 19:30:01,9123000,120.0
2016-07-28 19:35:01,9123300,99.0
2016-07-28 19:40:01,9123600,91.0
2016-07-28 19:45:01,9123900,85.0
2016-07-28 19:50:01,9124200,77.0
2016-07-28 19:55:01,9124500,63.0
2016-07-28 20:00:01,9124800,52.0
2016-07-28 20:05:01,9125100,59.0
2016-07-28 20:10:01,9125400,45.0
2016-07-28 20:15:01,9125700,35.0
2016-07-28 20:20:01,9126000,31.0
2016-07-28 20:25:01,9126300,45.0
2016-07-28 20:30:01,9126600,42.0
2016-07-28 20:35:02,9126900,27.0
2016-07-28 20:40:01,9127200,32.0
2016-07-28 20:45:01,9127500,18.0
2016-07-28 20:50:01,9127800,0.0
2016-07-28 20:55:01,9128100,0.0
2016-07-28 21:00:01,9128400,0.0
2016-07-28 21:05:01,9128700,0.0
2016-07-28 21:10:01,9129000,0.0
2016-07-28 21:15:01,9129300,0.0
2016-07-28 21:20:01,9129600,0.0
2016-07-28 21:25:01,9129900,0.0
2016-07-28 21:30:01,9130200,0.0
2016-07-28 21:35:01,9130500,0.0
2016-07-28 21:40:01,9130800,0.0
2016-07-28 21:45:01,9131100,0.0
2016-07-28 21:50:01,9131400,0.0
2016-07-28 21:55:01,9131700,0.0
2016-07-28 22:00:01,9132000,0.0
2016-07-28 22:05:01,9132300,0.0
2016-07-28 22:10:01,9132600,0.0
2016-07-28 22:15:01,9132900,0.0
2016-07-28 22:20:01,9133200,0.0
2016-07-28 22:25:01,9133500,0.0
2016-07-28 22:30:01,9133800,0.0
2016-07-28 22:35:01,9134100,0.0
2016-07-28 22:40:01,9134400,0.0
2016-07-28 22:45:01,9134700,0.0
2016-07-28 22:50:01,9135000,0.0
2016-07-28 22:55:01,9135300,0.0
2016-07-28 23:00:01,9135600,0.0
2016-07-28 23:05:01,9135900,0.0
2016-07-28 23:10:01,9136200,0.0
2016-07-28 23:15:01,9136500,0.0
2016-07-28 23:20:01,9136800,0.0
2016-07-28 23:25:01,9137100,0.0
2016-07-28 23:30:01,9137400,0.0
2016-07-28 23:35:01,9137700,0.0
2016-07-28 23:40:01,9138000,0.0
2016-07-28 23:45:01,9138300,0.0
2016-07-28 23:50:01,9138600,0.0
2016-07-28 23:55:01,9138900,0.0
2016-07-29 00:00:01,9139200,0.0
2016-07-29 00:05:01,9139500,0.0
2016-07-29 00:10:01,9139800,0.0
2016-07-29 00:15:01,9140100,0.0
2016-07-29 00:20:01,9140400,0.0
2016-07-29 00:25:01,9140700,0.0
2016-07-29 00:30:01,9141000,0.0
2016-07-29 00:35:01,9141300,0.0
2016-07-29 00:40:01,9141600,0.0
2016-07-29 00:45:01,9141900,0.0
2016-07-29 00:50:01,9142200,0.0
2016-07-29 00:55:01,9142500,0.0
2016-07-29 01:00:01,9142800,0.0
2016-07-29 01:05:01,9143100,0.0
2016-07-29 01:10:01,9143400,0.0
2016-07-29 01:15:01,9143700,0.0
2016-07-29 01:20:01,9144000,0.0
2016-07-29 01:25:01,9144300,0.0
2016-07-29 01:30:01,9144600,0.0
2016-07-29 01:35:01,9144900,0.0
2016-07-29 01:40:01,9145200,0.0
2016-07-29 01:45:01,9145500,0.0
2016-07-29 01:50:01,9145800,0.0
2016-07-29 01:55:01,9146100,0.0
2016-07-29 02:00:01,9146400,0.0
2016-07-29 02:05:01,9146700,0.0
2016-07-29 02:10:01,9147000,0.0
2016-07-29 02:15:01,9147300,0.0
2016-07-29 02:20:01,9147600,0.0
2016-07-29 02:25:01,9147900,0.0
2016-07-29 02:30:01,9148200,0.0
2016-07-29 02:35:01,9148500,0.0
2016-07-29 02:40:01,9148800,0.0
2016-07-29 02:45:01,9149100,0.0
2016-07-29 02:50:01,9149400,0.0
2016-07-29 02:55:01,9149700,0.0
2016-07-29 03:00:01,9150000,0.0
2016-07-29 03:05:01,9150300,0.0
2016-07-29 03:10:01,9150600,0.0
2016-07-29 03:15:01,9150900,0.0
2016-07-29 03:20:01,9151200,0.0
2016-07-29 03:25:01,9151500,0.0
2016-07-29 03:30:01,9151800,0.0
2016-07-29 03:35:01,9152100,0.0
2016-07-29 03:40:01,9152400,0.0
2016-07-29 03:45:01,9152700,0.0
2016-07-29 03:50:01,9153000,0.0
2016-07-29 03:55:01,9153300,0.0
2016-07-29 04:00:01,9153600,0.0
2016-07-29 04:05:01,9153900,0.0
2016-07-29 04:10:01,9154200,0.0
2016-07-29 04:15:01,9154500,0.0
2016-07-29 04:20:01,9154800,0.0
2016-07-29 04:25:01,9155100,0.0
2016-07-29 04:30:01,9155400,0.0
2016-07-29 04:35:01,9155700,0.0
2016-07-29 04:40:01,9156000,0.0
2016-07-29 04:45:01,9156300,0.0
2016-07-29 04:50:01,9156600,0.0
2016-07-29 04:55:01,9156900,0.0
2016-07-29 05:00:01,9157200,0.0
2016-07-29 05:05:01,9157500,0.0
2016-07-29 05:10:01,9157800,0.0
2016-07-29 05:15:01,9158100,0.0
2016-07-29 05:20:01,9158400,0.0
2016-07-29 05:25:01,9158700,0.0
2016-07-29 05:30:01,9159000,0.0
2016-07-29 05:35:01,9159300,0.0
2016-07-29 05:40:01,9159600,0.0
2016-07-29 05:45:01,9159900,0.0
2016-07-29 05:50:01,9160200,0.0
2016-07-29 05:55:01,9160500,0.0
2016-07-29 06:00:01,9160800,0.0
2016-07-29 06:05:01,9161100,0.0
2016-07-29 06:10:01,9161400,0.0
2016-07-29 06:15:01,9161700,0.0
2016-07-29 06:20:01,9162000,0.0
2016-07-29 06:25:01,9162300,0.0
2016-07-29 06:30:01,9162600,0.0
2016-07-29 06:35:01,9162900,0.0
2016-07-29 06:40:01,9163200,0.0
2016-07-29 06:45:01,9163500,0.0
2016-07-29 06:50:01,9163800,0.0
2016-07-29 06:55:01,9164100,0.0
2016-07-29 07:00:01,9164400,0.0
2016-07-29 07:05:01,9164700,0.0
2016-07-29 07:10:01,9165000,0.0
2016-07-29 07:15:01,9165300,0.0
2016-07-29 07:20:01,9165600,0.0
2016-07-29 07:25:01,9165900,0.0
2016-07-29 07:30:01,9166200,0.0
2016-07-29 07:35:01,9166500,16.0
2016-07-29 07:40:01,9166800,21.0
2016-07-29 07:45:01,9167100,31.0
2016-07-29 07:50:01,9167400,30.0
2016-07-29 07:55:01,9167700,33.0
2016-07-29 08:00:01,9168000,38.0
2016-07-29 08:05:01,9168300,34.0
2016-07-29 08:10:01,9168600,32.0
2016-07-29 08:15:01,9168900,47.0
2016-07-29 08:20:01,9169200,27.0
2016-07-29 08:25:01,9169500,37.0
2016-07-29 08:30:01,9169800,26.0
2016-07-29 08:35:01,9170100,16.0
2016-07-29 08:40:01,9170400,65.0
2016-07-29 08:45:01,9170700,116.0
2016-07-29 08:50:01,9171000,104.0
2016-07-29 08:55:01,9171300,114.0
2016-07-29 09:00:01,9171600,114.0
2016-07-29 09:05:01,9171900,112.0
2016-07-29 09:10:01,9172200,125.0
2016-07-29 09:15:01,9172500,173.0
2016-07-29 09:20:01,9172800,159.0
2016-07-29 09:25:01,9173100,147.0
2016-07-29 09:30:01,9173400,141.0
2016-07-29 09:35:01,9173700,135.0
2016-07-29 09:40:01,9174000,226.0
2016-07-29 09:45:01,9174300,253.0
2016-07-29 09:50:01,9174600,150.0
2016-07-29 09:55:01,9174900,77.0
2016-07-29 10:00:01,9175200,96.0
2016-07-29 10:05:01,9175500,100.0
2016-07-29 10:10:01,9175800,154.0
2016-07-29 10:15:01,9176100,223.0
2016-07-29 10:20:01,9176400,215.0
2016-07-29 10:25:01,9176700,291.0
2016-07-29 10:30:01,9177000,397.0
2016-07-29 10:35:01,9177300,276.0
2016-07-29 10:40:01,9177600,281.0
2016-07-29 10:45:01,9177900,266.0
2016-07-29 10:50:01,9178200,296.0
2016-07-29 10:55:01,9178500,350.0
2016-07-29 11:00:01,9178800,164.0
2016-07-29 11:05:01,9179100,106.0
2016-07-29 11:10:01,9179400,129.0
2016-07-29 11:15:01,9179700,164.0
2016-07-29 11:20:01,9180000,536.0
2016-07-29 11:25:01,9180300,528.0
2016-07-29 11:30:01,9180600,561.0
2016-07-29 11:35:01,9180900,479.0
2016-07-29 11:40:01,9181200,405.0
2016-07-29 11:45:01,9181500,385.0
2016-07-29 11:50:01,9181800,267.0
2016-07-29 11:55:01,9182100,309.0
2016-07-29 12:00:01,9182400,449.0
2016-07-29 12:05:01,9182700,304.0
2016-07-29 12:10:01,9183000,243.0
2016-07-29 12:15:01,9183300,167.0
2016-07-29 12:20:01,9183600,379.0
2016-07-29 12:25:01,9183900,299.0
2016-07-29 12:30:01,9184200,245.0
2016-07-29 12:35:01,9184500,566.0
2016-07-29 12:40:01,9184800,255.0
2016-07-29 12:45:01,9185100,166.0
2016-07-29 12:50:01,9185400,387.0
2016-07-29 12:55:01,9185700,346.0
2016-07-29 13:00:01,9186000,333.0
2016-07-29 13:05:01,9186300,449.0
2016-07-29 13:10:01,9186600,223.0
2016-07-29 13:15:01,9186900,432.0
2016-07-29 13:20:01,9187200,219.0
2016-07-29 13:25:01,9187500,310.0
2016-07-29 13:30:01,9187800,180.0
2016-07-29 13:35:01,9188100,162.0
2016-07-29 13:40:01,9188400,166.0
2016-07-29 13:45:01,9188700,294.0
2016-07-29 13:50:01,9189000,405.0
2016-07-29 13:55:01,9189300,349.0
2016-07-29 14:00:01,9189600,777.0
2016-07-29 14:05:01,9189900,513.0
2016-07-29 14:10:02,9190200,235.0
2016-07-29 14:15:01,9190500,308.0
2016-07-29 14:20:01,9190800,508.0
2016-07-29 14:25:01,9191100,228.0
2016-07-29 14:30:01,9191400,575.0
2016-07-29 14:35:01,9191700,495.0
2016-07-29 14:40:01,9192000,881.0
2016-07-29 14:45:01,9192300,775.0
2016-07-29 14:50:01,9192600,604.0
2016-07-29 14:55:01,9192900,905.0
2016-07-29 15:00:01,9193200,740.0
2016-07-29 15:05:01,9193500,802.0
2016-07-29 15:10:01,9193800,209.0
2016-07-29 15:15:01,9194100,353.0
2016-07-29 15:20:01,9194400,390.0
2016-07-29 15:25:01,9194700,536.0
2016-07-29 15:30:01,9195000,645.0
2016-07-29 15:35:01,9195300,528.0
2016-07-29 15:40:01,9195600,584.0
2016-07-29 15:45:01,9195900,966.0
2016-07-29 15:50:01,9196200,653.0
2016-07-29 15:55:01,9196500,276.0
2016-07-29 16:00:01,9196800,299.0
2016-07-29 16:05:01,9197100,263.0
2016-07-29 16:10:01,9197400,190.0
2016-07-29 16:15:01,9197700,416.0
2016-07-29 16:20:01,9198000,229.0
2016-07-29 16:25:01,9198300,292.0
2016-07-29 16:30:01,9198600,180.0
2016-07-29 16:35:01,9198900,238.0
2016-07-29 16:40:01,9199200,224.0
2016-07-29 16:45:01,9199500,293.0
2016-07-29 16:50:01,9199800,286.0
2016-07-29 16:55:01,9200100,310.0
2016-07-29 17:00:01,9200400,366.0
2016-07-29 17:05:01,9200700,296.0
2016-07-29 17:10:01,9201000,353.0
2016-07-29 17:15:01,9201300,381.0
2016-07-29 17:20:01,9201600,320.0
2016-07-29 17:25:01,9201900,271.0
2016-07-29 17:30:01,9202200,368.0
2016-07-29 17:35:01,9202500,372.0
2016-07-29 17:40:01,9202800,446.0
2016-07-29 17:45:01,9203100,268.0
2016-07-29 17:50:01,9203400,422.0
2016-07-29 17:55:01,9203700,727.0
2016-07-29 18:00:01,9204000,692.0
2016-07-29 18:05:01,9204300,212.0
2016-07-29 18:10:01,9204600,345.0
2016-07-29 18:15:01,9204900,265.0
2016-07-29 18:20:01,9205200,244.0
2016-07-29 18:25:01,9205500,371.0
2016-07-29 18:30:01,9205800,398.0
2016-07-29 18:35:01,9206100,593.0
2016-07-29 18:40:01,9206400,218.0
2016-07-29 18:45:01,9206700,197.0
2016-07-29 18:50:01,9207000,482.0
2016-07-29 18:55:01,9207300,420.0
2016-07-29 19:00:01,9207600,161.0
2016-07-29 19:05:01,9207900,130.0
2016-07-29 19:10:01,9208200,372.0
2016-07-29 19:15:01,9208500,343.0
2016-07-29 19:20:01,9208800,84.0
2016-07-29 19:25:01,9209100,126.0
2016-07-29 19:30:01,9209400,70.0
2016-07-29 19:35:01,9209700,96.0
2016-07-29 19:40:01,9210000,67.0
2016-07-29 19:45:01,9210300,58.0
2016-07-29 19:50:01,9210600,49.0
2016-07-29 19:55:01,9210900,54.0
2016-07-29 20:00:01,9211200,46.0
2016-07-29 20:05:01,9211500,56.0
2016-07-29 20:10:01,9211800,40.0
2016-07-29 20:15:01,9212100,39.0
2016-07-29 20:20:01,9212400,38.0
2016-07-29 20:25:01,9212700,31.0
2016-07-29 20:30:01,9213000,26.0
2016-07-29 20:35:01,9213300,27.0
2016-07-29 20:40:01,9213600,27.0
2016-07-29 20:45:01,9213900,25.0
2016-07-29 20:50:01,9214200,21.0
2016-07-29 20:55:01,9214500,0.0
2016-07-29 21:00:01,9214800,20.0
2016-07-29 21:05:01,9215100,22.0
2016-07-29 21:10:01,9215400,18.0
2016-07-29 21:15:01,9215700,0.0
2016-07-29 21:20:01,9216000,0.0
2016-07-29 21:25:01,9216300,0.0
2016-07-29 21:30:01,9216600,0.0
2016-07-29 21:35:01,9216900,0.0
2016-07-29 21:40:01,9217200,0.0
2016-07-29 21:45:01,9217500,0.0
2016-07-29 21:50:01,9217800,0.0
2016-07-29 21:55:01,9218100,0.0
2016-07-29 22:00:01,9218400,0.0
2016-07-29 22:05:01,9218700,0.0
2016-07-29 22:10:01,9219000,0.0
2016-07-29 22:15:01,9219300,0.0
2016-07-29 22:20:01,9219600,0.0
2016-07-29 22:25:01,9219900,0.0
2016-07-29 22:30:01,9220200,0.0
2016-07-29 22:35:01,9220500,0.0
2016-07-29 22:40:01,9220800,0.0
2016-07-29 22:45:01,9221100,0.0
2016-07-29 22:50:01,9221400,0.0
2016-07-29 22:55:01,9221700,0.0
2016-07-29 23:00:01,9222000,0.0
2016-07-29 23:05:01,9222300,0.0
2016-07-29 23:10:01,9222600,0.0
2016-07-29 23:15:01,9222900,0.0
2016-07-29 23:20:01,9223200,0.0
2016-07-29 23:25:01,9223500,0.0
2016-07-29 23:30:01,9223800,0.0
2016-07-29 23:35:01,9224100,0.0
2016-07-29 23:40:01,9224400,0.0
2016-07-29 23:45:01,9224700,0.0
2016-07-29 23:50:01,9225000,0.0
2016-07-29 23:55:01,9225300,0.0
2016-07-30 00:00:01,9225600,0.0
2016-07-30 00:05:01,9225900,0.0
2016-07-30 00:10:01,9226200,0.0
2016-07-30 00:15:01,9226500,0.0
2016-07-30 00:20:01,9226800,0.0
2016-07-30 00:25:01,9227100,0.0
2016-07-30 00:30:01,9227400,0.0
2016-07-30 00:35:01,9227700,0.0
2016-07-30 00:40:01,9228000,0.0
2016-07-30 00:45:01,9228300,0.0
2016-07-30 00:50:01,9228600,0.0
2016-07-30 00:55:01,9228900,0.0
2016-07-30 01:00:01,9229200,0.0
2016-07-30 01:05:01,9229500,0.0
2016-07-30 01:10:01,9229800,0.0
2016-07-30 01:15:01,9230100,0.0
2016-07-30 01:20:01,9230400,0.0
2016-07-30 01:25:01,9230700,0.0
2016-07-30 01:30:01,9231000,0.0
2016-07-30 01:35:01,9231300,0.0
2016-07-30 01:40:01,9231600,0.0
2016-07-30 01:45:01,9231900,0.0
2016-07-30 01:50:01,9232200,0.0
2016-07-30 01:55:01,9232500,0.0
2016-07-30 02:00:01,9232800,0.0
2016-07-30 02:05:01,9233100,0.0
2016-07-30 02:10:01,9233400,0.0
2016-07-30 02:15:01,9233700,0.0
2016-07-30 02:20:01,9234000,0.0
2016-07-30 02:25:01,9234300,0.0
2016-07-30 02:30:01,9234600,0.0
2016-07-30 02:35:01,9234900,0.0
2016-07-30 02:40:01,9235200,0.0
2016-07-30 02:45:01,9235500,0.0
2016-07-30 02:50:01,9235800,0.0
2016-07-30 02:55:01,9236100,0.0
2016-07-30 03:00:01,9236400,0.0
2016-07-30 03:05:01,9236700,0.0
2016-07-30 03:10:01,9237000,0.0
2016-07-30 03:15:01,9237300,0.0
2016-07-30 03:20:01,9237600,0.0
2016-07-30 03:25:01,9237900,0.0
2016-07-30 03:30:01,9238200,0.0
2016-07-30 03:35:01,9238500,0.0
2016-07-30 03:40:01,9238800,0.0
2016-07-30 03:45:01,9239100,0.0
2016-07-30 03:50:01,9239400,0.0
2016-07-30 03:55:01,9239700,0.0
2016-07-30 04:00:01,9240000,0.0
2016-07-30 04:05:01,9240300,0.0
2016-07-30 04:10:01,9240600,0.0
2016-07-30 04:15:01,9240900,0.0
2016-07-30 04:20:01,9241200,0.0
2016-07-30 04:25:01,9241500,0.0
2016-07-30 04:30:01,9241800,0.0
2016-07-30 04:35:01,9242100,0.0
2016-07-30 04:40:01,9242400,0.0
2016-07-30 04:45:01,9242700,0.0
2016-07-30 04:50:01,9243000,0.0
2016-07-30 04:55:01,9243300,0.0
2016-07-30 05:00:01,9243600,0.0
2016-07-30 05:05:01,9243900,0.0
2016-07-30 05:10:01,9244200,0.0
2016-07-30 05:15:01,9244500,0.0
2016-07-30 05:20:01,9244800,0.0
2016-07-30 05:25:01,9245100,0.0
2016-07-30 05:30:01,9245400,0.0
2016-07-30 05:35:01,9245700,0.0
2016-07-30 05:40:01,9246000,0.0
2016-07-30 05:45:01,9246300,0.0
2016-07-30 05:50:01,9246600,0.0
2016-07-30 05:55:01,9246900,0.0
2016-07-30 06:00:01,9247200,0.0
2016-07-30 06:05:01,9247500,0.0
2016-07-30 06:10:01,9247800,0.0
2016-07-30 06:15:01,9248100,0.0
2016-07-30 06:20:01,9248400,0.0
2016-07-30 06:25:01,9248700,0.0
2016-07-30 06:30:01,9249000,0.0
2016-07-30 06:35:01,9249300,0.0
2016-07-30 06:40:01,9249600,0.0
2016-07-30 06:45:01,9249900,0.0
2016-07-30 06:50:01,9250200,0.0
2016-07-30 06:55:01,9250500,0.0
2016-07-30 07:00:01,9250800,0.0
2016-07-30 07:05:01,9251100,0.0
